Date,Latitude,Longitude,city_confirmedCount,city_curedCount,city_deadCount,city_suspectedCount,cityEnglishName
05-07,32.7165184,108.9912989,26.0,26.0,0.0,0.0,Ankang
05-07,34.364581099999995,107.2332184,13.0,13.0,0.0,0.0,Baoji
05-07,31.4066338,121.4851577,22.0,21.0,1.0,0.0,Baoshan District
05-07,40.6549157,109.8344586,11.0,11.0,0.0,0.0,Baotou
05-07,40.7411867,107.3826113,8.0,7.0,1.0,0.0,Bayannur
05-07,31.2092762,121.3899859,13.0,13.0,0.0,0.0,Changning District
05-07,40.2141429,116.17226818841999,29.0,10.0,0.0,0.0,Changping District
05-07,36.1829336,113.0985394,8.0,8.0,0.0,0.0,Changzhi
05-07,31.8129864,119.9692045,51.0,51.0,0.0,0.0,Changzhou
05-07,39.92044979999999,116.43691090000002,75.0,0.0,0.0,0.0,Chaoyang District
05-07,23.6566146,116.6205482,6.0,6.0,0.0,0.0,Chaozhou
05-07,42.2799929,118.9426131,9.0,9.0,0.0,0.0,Chifeng
05-07,31.6313393,121.5337768,4.0,4.0,0.0,0.0,Chongming District
05-07,46.5969028,125.1014811,27.0,25.0,1.0,0.0,Daqing
05-07,40.0921758,113.2950953,12.0,12.0,0.0,0.0,Datong
05-07,39.63606985,116.46452139471874,39.0,16.0,0.0,0.0,Daxing District
05-07,52.3413513,124.5619384,3.0,3.0,0.0,0.0,Daxinganling
05-07,39.9269012,116.4100395,14.0,1.0,0.0,0.0,Dongcheng District
05-07,23.0444712,113.7465512,100.0,99.0,1.0,0.0,Dongguan
05-07,39.7145318,115.86050079650428,16.0,3.0,0.0,0.0,Fangshan District
05-07,39.8571176,116.2804172,43.0,3.0,0.0,0.0,Fengtai District
05-07,30.9204487,121.4693834,9.0,9.0,0.0,0.0,Fengxian District
05-07,23.0247687,113.1146335,100.0,98.0,0.0,1.0,Foshan
05-07,27.9957951,116.353245,72.0,71.0,1.0,0.0,Fuzhou
05-07,23.1301964,113.2592945,505.0,501.0,1.0,4.0,Guangzhou
05-07,39.9580718,116.292405,64.0,0.0,0.0,0.0,Haidian District
05-07,35.47625189999999,110.4508029,1.0,1.0,0.0,0.0,Hancheng
05-07,33.069049,107.018889,26.0,26.0,0.0,0.0,Hanzhong
05-07,45.7656666,126.6160584,263.0,231.0,4.0,8.0,Harbin
05-07,47.3355856,130.28367179999998,5.0,5.0,0.0,0.0,Hegang
05-07,48.00000470000001,127.999992,14.0,14.0,0.0,0.0,Heihe
05-07,23.746777,114.6954482,5.0,5.0,0.0,0.0,Heyuan
05-07,40.8337963,111.6730788,7.0,7.0,0.0,0.0,Hohhot
05-07,31.266703000000003,121.501751,7.0,7.0,0.0,0.0,Hongkou District
05-07,32.5866826,117.0130019,66.0,66.0,0.0,0.0,Huainan
05-07,40.64575865000001,116.624596525,7.0,0.0,0.0,0.0,Huairou District
05-07,31.2335925,121.479864,6.0,6.0,0.0,0.0,Huangpu District
05-07,29.831086100000004,118.3358441,62.0,62.0,0.0,0.0,Huizhou
05-07,49.2187995,119.7431228,9.0,8.0,0.0,0.0,Hulunbuir
05-07,31.3838958,121.2461723,9.0,7.0,2.0,0.0,Jiading District
05-07,46.8087794,130.3734556,15.0,15.0,0.0,0.0,Jiamusi
05-07,22.5766294,113.079047,24.0,24.0,0.0,0.0,Jiangmen
05-07,23.5430817,116.3497169,11.0,11.0,0.0,0.0,Jieyang
05-07,35.493783,112.8519862,10.0,10.0,0.0,0.0,Jincheng
05-07,31.2297756,121.44306,16.0,15.0,1.0,0.0,Jing'an District
05-07,30.744817,121.3372571,4.0,4.0,0.0,0.0,Jinshan District
05-07,37.68667960000001,112.7383414,37.0,37.0,0.0,0.0,Jinzhong
05-07,45.2928513,130.9619259,46.0,46.0,0.0,0.0,Jixi
05-07,34.609263299999995,119.1695305,48.0,48.0,0.0,0.0,Lianyungang
05-07,36.0885338,111.512998,2.0,2.0,0.0,0.0,Linfen
05-07,25.0974393,117.0151162,6.0,6.0,0.0,0.0,Longyan
05-07,37.5200946,111.1444891,6.0,6.0,0.0,0.0,Lüliang
05-07,21.6656562,110.9196315,14.0,14.0,0.0,0.0,Maoming
05-07,24.3053552,116.1177436,17.0,17.0,0.0,0.0,Meizhou
05-07,39.9938234,115.79514457510444,3.0,2.0,0.0,0.0,Mentougou District
05-07,31.114766600000006,121.3769429,19.0,19.0,0.0,0.0,Minhang District
05-07,40.3751032,116.8371838,7.0,0.0,0.0,0.0,Miyun District
05-07,44.5498406,129.6259558,25.0,18.0,0.0,0.0,Mudanjiang
05-07,32.060973600000004,118.79164579999998,93.0,93.0,0.0,0.0,Nanjing
05-07,26.6417374,118.173639,20.0,20.0,0.0,0.0,Nanping
05-07,31.9827896,120.8904588,40.0,40.0,0.0,0.0,Nantong
05-07,26.6655699,119.5224895,26.0,26.0,0.0,0.0,Ningde
05-07,39.60814570000001,109.7763659,11.0,11.0,0.0,0.0,Ordos
05-07,26.1719,108.988,61.0,60.0,1.0,0.0,Pudong District
05-07,25.4342199,119.0074625,56.0,56.0,0.0,0.0,Putian
05-07,29.885886,122.47796430556356,11.0,11.0,0.0,0.0,Putuo District
05-07,31.1521636,121.1195519,6.0,6.0,0.0,0.0,Qingpu District
05-07,23.6832984,113.0505994,12.0,12.0,0.0,0.0,Qingyuan
05-07,47.3523672,123.9164653,43.0,42.0,1.0,0.0,Qiqihar
05-07,45.7700345,131.0074987,17.0,17.0,0.0,0.0,Qitaihe
05-07,24.9038801,118.5851458,47.0,47.0,0.0,0.0,Quanzhou
05-07,26.2367951,117.6038491,14.0,14.0,0.0,0.0,Sanming
05-07,33.8678555,109.9353876,7.0,7.0,0.0,0.0,Shangluo
05-07,23.356377,116.6775918,26.0,26.0,0.0,0.0,Shantou
05-07,22.7893675,115.3721503,5.0,5.0,0.0,0.0,Shanwei
05-07,24.8134099,113.5923564,10.0,9.0,1.0,0.0,Shaoguan
05-07,22.555454,114.0543297,462.0,458.0,3.0,1.0,Shenzhen
05-07,39.9046102,116.216797,14.0,9.0,0.0,0.0,Shijingshan District
05-07,46.522721,132.645516,52.0,49.0,3.0,0.0,Shuangyashan
05-07,40.158330600000006,116.72011452233473,10.0,10.0,0.0,0.0,Shunyi District
05-07,39.3307915,112.4235469,8.0,8.0,0.0,0.0,Shuozhou
05-07,31.02959325,121.21083753446176,14.0,14.0,0.0,0.0,Songjiang District
05-07,46.6520483,126.9607485,47.0,43.0,4.0,0.0,Suihua
