2003-03-31,2003-04-02,2003-04-06,2003-04-09,2003-04-15 12:00,2003-04-18,2003-04-21,2003-04-22 20:00,2003-04-23 20:00,2003-04-24 20:00,2003-04-26 10:00,2003-04-27 10:00,2003-04-28 10:00,2003-04-29 10:00,2003-04-30 10:00,2003-05-01 10:00,2003-05-02 10:00,2003-05-03 10:00,2003-05-04 10:00,2003-05-05 10:00,2003-05-06 10:00,2003-05-07 10:00,2003-05-08 10:00,2003-05-09 10:00,2003-05-10 10:00,2003-05-11 10:00,2003-05-12 10:00,2003-05-13 10:00,2003-05-14 10:00,2003-05-15 10:00,2003-05-16 10:00,2003-05-17 10:00,2003-05-18 10:00,2003-05-19 10:00,2003-05-20 10:00,2003-05-21 10:00,2003-05-22 10:00,2003-05-23 10:00,2003-05-24 10:00,2003-05-25 10:00,2003-05-26 10:00,2003-05-27 10:00,2003-05-28 10:00,2003-05-29 10:00,2003-05-30 10:00,2003-05-31 10:00,2003-06-01 10:00,2003-06-02 10:00,2003-06-03 10:00,2003-06-04 10:00,2003-06-05 10:00,2003-06-06 10:00,2003-06-07 10:00,2003-06-08 10:00,2003-06-09 10:00,2003-06-10 10:00,2003-06-11 10:00,2003-06-12 10:00,2003-06-13 10:00,2003-06-14 10:00,2003-06-15 10:00,2003-06-16 10:00,2003-06-17 10:00,2003-06-18 10:00,2003-06-19 10:00,2003-06-20 10:00,2003-06-21 10:00,2003-06-22 10:00,2003-06-23 10:00,2003-06-24 10:00,2003-06-25 16:00,2003-06-26 16:00,2003-06-28 16:00,2003-06-29 10:00,2003-06-30 10:00,2003-07-02 10:00,2003-07-04 10:00,2003-07-05 10:00,2003-07-08 10:00,2003-07-10 10:00,2003-07-12 10:00,2003-07-13 10:00,2003-07-15 10:00,2003-07-16 10:00,2003-07-17 10:00,2003-07-27 10:00,2003-07-30 10:00,2003-08-02 10:00,2003-08-13 10:00,2003-08-14 10:00,2003-08-15 10:00,2003-08-16 10:00,province,latitude,longitude
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,7.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Anhui,32.0,117.0
12.0,12.0,19.0,22.0,37.0,37.0,482.0,693.0,774.0,877.0,988.0,1114.0,1199.0,1347.0,1440.0,1553.0,1636.0,1741.0,1803.0,1897.0,1960.0,2049.0,2136.0,2177.0,2227.0,2265.0,2304.0,2347.0,2370.0,2388.0,2405.0,2420.0,2434.0,2437.0,2444.0,2444.0,2456.0,2465.0,2490.0,2499.0,2504.0,2512.0,2514.0,2517.0,2520.0,2521.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2523.0,2522.0,2522.0,2522.0,2523.0,2523.0,2522.0,2522.0,2522.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,2521.0,Beijing,39.906217,116.3912757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Chongqing,29.5585712,106.5492822
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Fujian,26.5450001,117.842778
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,Gansu,38.0000001,101.9999999
1153.0,1153.0,1203.0,1213.0,1273.0,1273.0,1317.0,1344.0,1359.0,1374.0,1379.0,1382.0,1395.0,1399.0,1405.0,1412.0,1421.0,1432.0,1441.0,1453.0,1465.0,1478.0,1485.0,1502.0,1504.0,1506.0,1509.0,1509.0,1510.0,1513.0,1515.0,1514.0,1514.0,1514.0,1514.0,1513.0,1513.0,1513.0,1513.0,1513.0,1513.0,1512.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,Guangdong,23.1357694,113.1982688
11.0,11.0,11.0,12.0,12.0,12.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,Guangxi,24.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guizhou,27.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,21.0,27.0,30.0,39.0,48.0,56.0,70.0,79.0,98.0,107.0,113.0,134.0,147.0,156.0,157.0,166.0,177.0,191.0,194.0,200.0,202.0,202.0,210.0,214.0,217.0,221.0,227.0,228.0,223.0,222.0,216.0,216.0,216.0,216.0,216.0,215.0,216.0,216.0,216.0,216.0,216.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,Hebei,39.0000001,116.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heilongjiang,48.0000047,127.999992
