2003-03-31,2003-04-02,2003-04-06,2003-04-09,2003-04-15 12:00,2003-04-18,2003-04-21,2003-04-22 20:00,2003-04-23 20:00,2003-04-24 20:00,2003-04-26 10:00,2003-04-27 10:00,2003-04-28 10:00,2003-04-29 10:00,2003-04-30 10:00,2003-05-01 10:00,2003-05-02 10:00,2003-05-03 10:00,2003-05-04 10:00,2003-05-05 10:00,2003-05-06 10:00,2003-05-07 10:00,2003-05-08 10:00,2003-05-09 10:00,2003-05-10 10:00,2003-05-11 10:00,2003-05-12 10:00,2003-05-13 10:00,2003-05-14 10:00,2003-05-15 10:00,2003-05-16 10:00,2003-05-17 10:00,2003-05-18 10:00,2003-05-19 10:00,2003-05-20 10:00,2003-05-21 10:00,2003-05-22 10:00,2003-05-23 10:00,2003-05-24 10:00,2003-05-25 10:00,2003-05-26 10:00,2003-05-27 10:00,2003-05-28 10:00,2003-05-29 10:00,2003-05-30 10:00,2003-05-31 10:00,2003-06-01 10:00,2003-06-02 10:00,2003-06-03 10:00,2003-06-04 10:00,2003-06-05 10:00,2003-06-06 10:00,2003-06-07 10:00,2003-06-08 10:00,2003-06-09 10:00,2003-06-10 10:00,2003-06-11 10:00,2003-06-12 10:00,2003-06-13 10:00,2003-06-14 10:00,2003-06-15 10:00,2003-06-16 10:00,2003-06-17 10:00,2003-06-18 10:00,2003-06-19 10:00,2003-06-20 10:00,2003-06-21 10:00,2003-06-22 10:00,2003-06-23 10:00,2003-06-24 10:00,2003-06-25 16:00,2003-06-26 16:00,2003-06-28 16:00,2003-06-29 10:00,2003-06-30 10:00,2003-07-02 10:00,2003-07-04 10:00,2003-07-05 10:00,2003-07-08 10:00,2003-07-10 10:00,2003-07-12 10:00,2003-07-13 10:00,2003-07-15 10:00,2003-07-16 10:00,2003-07-17 10:00,2003-07-27 10:00,2003-07-30 10:00,2003-08-02 10:00,2003-08-13 10:00,2003-08-14 10:00,2003-08-15 10:00,2003-08-16 10:00,province,latitude,longitude
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Anhui,32.0,117.0
1.0,1.0,1.0,1.0,8.0,8.0,43.0,55.0,64.0,73.0,76.0,78.0,78.0,83.0,90.0,100.0,109.0,115.0,118.0,121.0,134.0,141.0,152.0,168.0,175.0,186.0,203.0,244.0,252.0,257.0,273.0,307.0,332.0,349.0,395.0,447.0,528.0,582.0,667.0,704.0,747.0,828.0,866.0,928.0,1006.0,1087.0,1124.0,1157.0,1189.0,1263.0,1321.0,1403.0,1446.0,1543.0,1653.0,1747.0,1821.0,1876.0,1944.0,1994.0,2015.0,2053.0,2120.0,2154.0,2171.0,2189.0,2231.0,2257.0,2277.0,2280.0,2283.0,2288.0,2292.0,2292.0,2295.0,2295.0,2296.0,2299.0,2301.0,2303.0,2304.0,2306.0,2307.0,2308.0,2309.0,2309.0,2310.0,2311.0,2312.0,2315.0,2318.0,2321.0,Beijing,39.906217,116.3912757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Chongqing,29.5585712,106.5492822
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Fujian,26.5450001,117.842778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Gansu,38.0000001,101.9999999
1004.0,1004.0,1004.0,1004.0,1063.0,1063.0,1136.0,1146.0,1159.0,1173.0,1178.0,1185.0,1191.0,1201.0,1201.0,1206.0,1208.0,1233.0,1237.0,1245.0,1251.0,1256.0,1273.0,1288.0,1305.0,1314.0,1319.0,1322.0,1327.0,1342.0,1353.0,1355.0,1363.0,1388.0,1415.0,1419.0,1423.0,1428.0,1429.0,1432.0,1433.0,1434.0,1436.0,1438.0,1439.0,1441.0,1442.0,1445.0,1445.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,1447.0,Guangdong,23.1357694,113.1982688
8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,Guangxi,24.0,109.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Guizhou,27.0,107.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,9.0,11.0,11.0,13.0,21.0,22.0,27.0,32.0,35.0,43.0,57.0,63.0,79.0,88.0,97.0,108.0,115.0,120.0,133.0,134.0,137.0,140.0,146.0,152.0,155.0,159.0,169.0,179.0,182.0,186.0,191.0,197.0,198.0,199.0,200.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,Hebei,39.0000001,116.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heilongjiang,48.0000047,127.999992
