Date,All,Wuhan,Xiaogan,Huanggang,Jingzhou,Ezhou
01-24,1423.5954822954825,495.0,22.0,12.0,8.0,1.0
01-25,1676.2688672438674,563.4444444444445,24.66666666666667,58.22222222222222,8.888888888888891,1.0
01-26,2107.4142857142856,610.3333333333334,50.16666666666666,112.33333333333331,29.16666666666667,1.0
01-27,2717.8852813852814,690.7272727272727,91.8181818181818,145.27272727272728,41.90909090909091,11.363636363636365
01-28,4560.230952380953,1590.0,173.0,213.0,71.0,57.0
01-29,5932.704761904762,1905.0,274.0,324.0,101.0,84.0
01-30,7102.000000000001,2108.428571428572,345.42857142857144,422.28571428571433,129.57142857142858,106.28571428571428
01-31,9447.9,2639.0,541.0,573.0,221.0,189.0
02-01,11446.235714285714,3215.0,628.0,726.0,287.0,227.0
02-02,13996.650000000001,4109.0,749.0,1002.0,333.0,278.0
02-03,16811.382936507936,5142.0,918.0,1246.0,499.0,306.0
02-04,19957.271428571432,6384.0,1120.0,1422.0,613.0,332.0
02-05,23734.085073260074,8351.0,1462.0,1645.0,713.0,382.0
02-06,27171.246436896436,9969.833333333334,1850.666666666667,1793.5,793.6666666666665,419.58333333333326
02-07,30591.30191504402,11618.0,2141.0,1897.0,885.0,471.0
02-08,33935.869913419905,13603.0,2313.0,2041.0,941.0,569.0
02-09,36258.333624708626,14809.625,2420.625,2128.5,990.0,630.25
02-10,39466.84523809524,16902.0,2541.0,2252.0,1045.0,725.0
02-11,41924.71984126984,18454.0,2642.0,2332.0,1075.0,790.0
02-12,43865.75411255411,19558.0,2751.0,2398.0,1110.0,861.0
02-13,56854.742063492056,31074.571428571428,2856.4285714285716,2624.285714285714,1385.142857142857,1035.857142857143
02-14,63016.705555555556,35991.0,3009.0,2791.0,1447.0,1125.0
02-15,65578.21269841271,37914.0,3114.0,2817.0,1478.0,1192.0
02-16,67606.45952380952,39462.0,3201.0,2823.0,1490.0,1230.0
02-17,69268.37619047619,40814.0,3263.4,2829.4,1498.8,1265.2
02-18,71493.78685897436,42752.0,3320.0,2828.0,1537.0,1339.0
02-19,73140.26823870573,44284.307692307695,3342.1538461538457,2842.769230769231,1540.6923076923074,1342.6923076923074
02-20,73644.26959706961,45027.0,3329.0,2839.0,1510.0,1338.0
02-21,74202.92142857144,45346.0,3343.5714285714284,2853.5714285714284,1516.0,1342.2857142857142
02-22,74921.65793650794,45590.22222222222,3410.555555555556,2889.444444444445,1555.111111111111,1367.888888888889
02-23,75635.54141414141,46123.714285714275,3441.0,2903.285714285714,1572.857142857143,1378.428571428571
02-24,76012.26785714284,46471.66666666666,3457.666666666666,2904.0,1574.0,1381.666666666667
02-25,76696.71666666667,47071.0,3482.0,2904.0,1576.0,1385.0
02-26,77034.45833333333,47394.75,3498.625,2904.0,1576.875,1386.75
02-27,77524.80357142858,47824.0,3516.0,2904.0,1579.0,1389.0
02-28,77874.325,48137.0,3517.0,2904.0,1579.0,1389.0
02-29,78302.25,48557.0,3518.0,2904.0,1579.0,1390.0
03-01,78868.81904761905,49122.0,3518.0,2904.8,1579.0,1390.8
03-02,78986.95238095238,49250.66666666666,3518.0,2905.0,1579.666666666667,1391.0
03-03,79157.375,49398.25,3518.0,2906.5,1580.0,1391.0
03-04,79290.76666666666,49540.0,3518.0,2907.0,1580.0,1391.5
03-05,79480.9357142857,49671.0,3518.0,2907.0,1580.0,1394.0
03-06,79544.56666666667,49755.0,3518.0,2907.0,1580.0,1394.0
03-07,79665.33333333334,49871.0,3518.0,2907.0,1580.0,1394.0
03-08,79704.0,49912.0,3518.0,2907.0,1580.0,1394.0
03-09,79757.4,49948.0,3518.0,2907.0,1580.0,1394.0
03-10,79810.16666666666,49965.0,3518.0,2907.0,1580.0,1394.0
03-11,79842.21666666666,49973.66666666666,3518.0,2907.0,1580.0,1394.0
03-12,79783.33333333334,49986.0,3518.0,2907.0,1580.0,1394.0
03-13,79721.0,49991.0,3518.0,2907.0,1580.0,1394.0
03-14,79845.0,49995.0,3518.0,2907.0,1580.0,1394.0
03-15,79798.5,49997.0,3518.0,2907.0,1580.0,1394.0
03-16,79859.33333333334,50003.0,3518.0,2907.0,1580.0,1394.0
03-17,79862.83333333331,50003.66666666666,3518.0,2907.0,1580.0,1394.0
03-18,79870.75,50004.75,3518.0,2907.0,1580.0,1394.0
03-19,79881.5,50005.0,3518.0,2907.0,1580.0,1394.0
03-20,79898.3,50005.0,3518.0,2907.0,1580.0,1394.0
03-21,79903.0,50005.0,3518.0,2907.0,1580.0,1394.0
03-22,79914.5,50005.0,3518.0,2907.0,1580.0,1394.0
03-23,79897.5,50005.0,3518.0,2907.0,1580.0,1394.0
03-24,79863.33333333333,50006.0,3518.0,2907.0,1580.0,1394.0
03-25,79872.0,50006.0,3518.0,2907.0,1580.0,1394.0
03-26,79885.66666666666,50006.0,3518.0,2907.0,1580.0,1394.0
03-27,79917.16666666666,50006.0,3518.0,2907.0,1580.0,1394.0
03-28,79971.5,50006.0,3518.0,2907.0,1580.0,1394.0
03-29,80035.5,50006.0,3518.0,2907.0,1580.0,1394.0
03-30,80046.5,50006.0,3518.0,2907.0,1580.0,1394.0
03-31,80056.5,50006.0,3518.0,2907.0,1580.0,1394.0
04-01,80070.0,50007.0,3518.0,2907.0,1580.0,1394.0
04-02,79985.0,50007.0,3518.0,2907.0,1580.0,1394.0
04-03,79967.33333333334,50007.0,3518.0,2907.0,1580.0,1394.0
04-04,80043.5,50008.0,3518.0,2907.0,1580.0,1394.0
04-05,79999.0,50008.0,3518.0,2907.0,1580.0,1394.0
04-06,80062.5,50008.0,3518.0,2907.0,1580.0,1394.0
04-07,80066.5,50008.0,3518.0,2907.0,1580.0,1394.0
04-08,80069.5,50008.0,3518.0,2907.0,1580.0,1394.0
04-09,79988.5,50008.0,3518.0,2907.0,1580.0,1394.0
04-10,80023.0,50008.0,3518.0,2907.0,1580.0,1394.0
04-11,80033.0,50008.0,3518.0,2907.0,1580.0,1394.0
04-12,80040.0,50008.0,3518.0,2907.0,1580.0,1394.0
04-13,80105.5,50008.0,3518.0,2907.0,1580.0,1394.0
04-14,80038.66666666667,50008.0,3518.0,2907.0,1580.0,1394.0
04-15,80069.16666666666,50008.0,3518.0,2907.0,1580.0,1394.0
04-16,80081.16666666666,50008.0,3518.0,2907.0,1580.0,1394.0
04-17,80317.75,50251.75,3518.0,2907.0,1580.0,1394.0
04-18,80409.0,50333.0,3518.0,2907.0,1580.0,1394.0
04-19,80472.0,50333.0,3518.0,2907.0,1580.0,1394.0
04-20,80476.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-21,80431.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-22,80438.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-23,80499.0,50333.0,3518.0,2907.0,1580.0,1394.0
04-24,80407.0,50333.0,3518.0,2907.0,1580.0,1394.0
04-25,80409.0,50333.0,3518.0,2907.0,1580.0,1394.0
04-26,80469.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-27,80472.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-28,80475.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-29,80464.5,50333.0,3518.0,2907.0,1580.0,1394.0
04-30,80465.5,50333.0,3518.0,2907.0,1580.0,1394.0
05-01,80471.5,50333.0,3518.0,2907.0,1580.0,1394.0
05-02,80527.0,50333.0,3518.0,2907.0,1580.0,1394.0
05-03,80528.0,50333.0,3518.0,2907.0,1580.0,1394.0
05-04,80528.0,50333.0,3518.0,2907.0,1580.0,1394.0
05-05,80528.0,50333.0,3518.0,2907.0,1580.0,1394.0
05-06,80528.0,50333.0,3518.0,2907.0,1580.0,1394.0
05-07,80420.0,50333.0,3518.0,2907.0,1580.0,1394.0
