Date,All,Wuhan,Xiaogan,Huanggang,Jingzhou,Ezhou
01-24,19.9,12.642857142857142,0.0,0.0,0.0,0.0
01-25,41.138888888888886,31.88888888888889,0.0,0.0,0.0,0.0
01-26,50.192857142857136,38.66666666666666,0.0,1.6666666666666667,0.0,0.0
01-27,55.462554112554116,41.81818181818182,0.4545454545454545,2.1818181818181817,0.18181818181818185,0.0
01-28,63.854545454545445,44.66666666666666,0.4545454545454545,2.0,1.0,0.0
01-29,76.88311688311687,49.14285714285714,0.4545454545454545,2.0,1.0,0.0
01-30,91.79978354978354,54.42857142857143,0.4545454545454545,2.8571428571428568,1.0,0.0
01-31,156.9761904761905,89.66666666666669,2.0,6.0,3.5,0.0
02-01,197.17203907203907,105.30769230769229,2.0,13.615384615384615,0.8461538461538461,0.0
02-02,325.42499999999995,162.66666666666666,2.0,27.0,2.888888888888889,0.2222222222222222
02-03,472.0793650793651,228.0,2.0,32.0,5.0,2.0
02-04,614.8860805860804,287.92307692307685,3.5384615384615383,38.92307692307692,6.6923076923076925,3.5384615384615383
02-05,866.4976190476191,371.4,6.0,52.0,10.3,6.0
02-06,1149.7831474081472,438.5,16.916666666666668,61.16666666666666,17.833333333333332,7.833333333333332
02-07,1501.9099964363122,535.5909090909091,24.22727272727273,72.45454545454545,22.59090909090909,8.818181818181818
02-08,2078.4648165559934,720.8666666666667,38.8,105.0,30.73333333333333,21.266666666666666
02-09,2639.1917429792434,877.1875,47.125,137.0,38.375,45.875
02-10,3228.464935064935,1045.8,81.0,194.2,45.8,48.0
02-11,3955.9202380952383,1232.75,139.25,285.0,57.25,61.0
02-12,4648.75064935065,1379.0,179.0,340.0,79.83333333333333,72.0
02-13,5676.612698412699,1844.4285714285716,203.85714285714286,414.8571428571428,99.85714285714286,92.42857142857143
02-14,6638.8383116883115,2094.8571428571427,255.0,510.8571428571428,160.57142857142858,116.0
02-15,7900.064285714285,2523.5,313.0,611.0,192.83333333333331,199.0
02-16,9172.877380952381,2922.5,359.75,716.0,263.0,222.0
02-17,10395.207936507937,3362.6,435.2,814.2,296.6,239.6
02-18,12251.984203296703,4229.25,523.0,941.0,339.0,267.25
02-19,13966.534218559218,4909.153846153846,568.2307692307693,1050.6153846153843,404.92307692307685,298.6923076923077
02-20,15803.161904761902,5520.0,673.5,1149.0,451.0,350.0
02-21,17745.109523809522,6240.428571428572,771.0,1274.0,531.0,375.0
02-22,19746.583333333332,7045.666666666668,884.5555555555555,1378.2222222222224,594.0,383.5555555555555
02-23,22036.150937950937,8058.428571428572,1055.0,1521.142857142857,671.1428571428571,412.57142857142856
02-24,23548.963095238098,8696.333333333334,1144.0,1619.333333333333,716.3333333333335,450.66666666666674
02-25,26608.571428571428,10352.25,1328.0,1762.5,776.625,497.5
02-26,28745.541666666668,11639.375,1380.5,1843.0,816.875,537.875
02-27,31734.52738095238,13391.625,1622.375,1951.0,868.25,612.75
02-28,35212.73333333334,15826.0,1795.0,2041.0,913.0,685.0
02-29,38143.03333333333,17578.166666666668,2047.0,2119.0,965.0,747.0
03-01,40676.47857142857,19358.2,2181.4,2160.6,1020.2,776.6
03-02,42787.63571428571,20703.33333333333,2336.333333333333,2230.333333333333,1075.3333333333333,804.0
03-03,45624.38809523809,22635.75,2519.25,2322.25,1132.0,833.5
03-04,48472.96666666667,24890.0,2636.5,2374.5,1179.5,860.0
03-05,51038.33571428572,26371.0,2821.0,2472.0,1269.0,916.8
03-06,52196.66666666666,27070.0,2881.0,2508.0,1307.6666666666667,926.0
03-07,54298.0,28527.66666666667,2972.0,2582.0,1350.3333333333333,956.0
03-08,56026.33333333333,29874.83333333333,3024.0,2631.1666666666665,1376.166666666667,988.8333333333335
03-09,57519.13333333333,30971.33333333333,3057.0,2641.0,1410.166666666667,1030.0
03-10,58859.6253968254,31911.571428571428,3111.0,2659.428571428572,1431.0,1079.0
03-11,59924.04999999999,32712.33333333333,3136.333333333333,2677.333333333333,1438.333333333333,1111.0
03-12,61582.75,34094.666666666664,3179.0,2707.0,1452.0,1171.0
03-13,62810.5,35197.0,3204.0,2720.0,1464.0,1184.0
03-14,64367.666666666664,36462.5,3237.0,2730.0,1474.0,1212.0
03-15,65006.166666666664,37053.5,3245.0,2734.0,1478.5,1242.0
03-16,66543.16666666666,38400.333333333336,3261.666666666666,2746.0,1489.0,1274.0
03-17,67185.83333333334,38957.333333333336,3274.0,2760.0,1496.0,1280.0
03-18,68165.41666666667,39839.25,3292.25,2777.5,1498.75,1288.75
03-19,69184.33333333333,40765.5,3322.0,2782.0,1502.0,1298.0
03-20,69910.20000000001,41389.333333333336,3349.0,2782.0,1517.0,1303.0
03-21,70483.66666666667,41891.5,3360.0,2782.0,1524.0,1315.0
03-22,70976.16666666667,42354.5,3366.0,2782.0,1525.0,1319.0
03-23,71427.16666666667,42788.0,3369.0,2782.0,1525.0,1324.5
03-24,71827.83333333333,43214.0,3376.0,2782.0,1526.0,1327.0
03-25,72317.66666666667,43686.5,3380.0,2782.0,1527.0,1328.0
03-26,72715.66666666667,44068.0,3383.0,2782.0,1527.0,1330.0
03-27,73264.83333333333,44591.0,3386.0,2782.0,1527.0,1332.0
03-28,73668.16666666667,44951.0,3389.0,2782.0,1528.0,1332.0
03-29,74188.66666666667,45420.5,3389.0,2782.0,1528.0,1332.0
03-30,74506.16666666666,45734.66666666666,3389.0,2782.0,1528.0,1334.3333333333333
03-31,74775.66666666667,46002.0,3389.0,2782.0,1528.0,1335.0
04-01,74965.16666666667,46175.0,3389.0,2782.0,1528.0,1335.0
04-02,75016.0,46320.0,3389.0,2782.0,1528.0,1335.0
04-03,75130.83333333334,46461.0,3389.0,2782.0,1528.0,1335.0
04-04,75354.5,46611.0,3389.0,2782.0,1528.0,1335.0
04-05,75484.0,46794.0,3389.0,2782.0,1528.0,1335.0
04-06,75608.5,46863.0,3389.0,2782.0,1528.0,1335.0
04-07,75668.5,46922.0,3389.0,2782.0,1528.0,1335.0
04-08,75739.16666666667,46991.0,3389.0,2782.0,1528.0,1335.0
04-09,75703.0,47036.0,3389.0,2782.0,1528.0,1335.0
04-10,75838.0,47085.0,3389.0,2782.0,1528.0,1335.0
04-11,75869.5,47112.0,3389.0,2782.0,1528.0,1335.0
04-12,75886.5,47129.0,3389.0,2782.0,1528.0,1335.0
04-13,75999.0,47186.0,3389.0,2782.0,1528.0,1335.0
04-14,75984.5,47211.0,3389.0,2782.0,1528.0,1335.0
04-15,76080.16666666666,47250.0,3389.0,2782.0,1528.0,1335.0
04-16,76115.66666666666,47283.0,3389.0,2782.0,1528.0,1335.0
04-17,75646.0,46817.5,3389.0,2782.0,1528.0,1335.0
04-18,75172.5,46342.0,3389.0,2782.0,1528.0,1335.0
04-19,75241.0,46355.0,3389.0,2782.0,1528.0,1335.0
04-20,75263.0,46359.0,3389.0,2782.0,1528.0,1335.0
04-21,75211.5,46362.0,3389.0,2782.0,1528.0,1335.0
04-22,75230.5,46367.0,3389.0,2782.0,1528.0,1335.0
04-23,75327.0,46395.0,3389.0,2782.0,1528.0,1335.0
04-24,75262.0,46417.0,3389.0,2782.0,1528.0,1335.0
04-25,75293.0,46441.0,3389.0,2782.0,1528.0,1335.0
04-26,75358.5,46452.0,3389.0,2782.0,1528.0,1335.0
04-27,75370.5,46464.0,3389.0,2782.0,1528.0,1335.0
04-28,75370.5,46464.0,3389.0,2782.0,1528.0,1335.0
04-29,75381.5,46464.0,3389.0,2782.0,1528.0,1335.0
04-30,75387.5,46464.0,3389.0,2782.0,1528.0,1335.0
05-01,75392.5,46464.0,3389.0,2782.0,1528.0,1335.0
05-02,75457.0,46464.0,3389.0,2782.0,1528.0,1335.0
05-03,75471.0,46464.0,3389.0,2782.0,1528.0,1335.0
05-04,75476.0,46464.0,3389.0,2782.0,1528.0,1335.0
05-05,75484.0,46464.0,3389.0,2782.0,1528.0,1335.0
05-06,75495.5,46464.0,3389.0,2782.0,1528.0,1335.0
05-07,75402.0,46464.0,3389.0,2782.0,1528.0,1335.0
