Date,All,Wuhan,Xiaogan,Huanggang,Ezhou,Jingzhou
01-24,6.233766233766234,1.6428571428571428,0.0,0.0,0.0,0.0
01-25,42.333333333333336,36.333333333333336,0.0,0.0,0.0,0.0
01-26,54.75000000000001,43.83333333333334,0.0,1.6666666666666667,0.0,1.6666666666666667
01-27,76.54545454545455,61.36363636363637,0.4545454545454545,3.4545454545454546,0.0,2.0
01-28,104.2,85.0,1.0,4.0,0.0,2.0
01-29,129.7,104.0,3.0,5.0,1.0,2.0
01-30,151.92619047619047,118.28571428571428,4.714285714285714,9.0,1.5714285714285714,2.571428571428572
01-31,211.2,159.0,9.0,12.0,6.0,3.0
02-01,257.0888888888889,192.0,12.0,14.0,9.0,4.0
02-02,302.6583333333333,224.0,14.0,15.0,13.0,4.0
02-03,358.6583333333333,265.0,14.0,17.0,15.0,6.0
02-04,422.6583333333333,313.0,17.0,19.0,18.0,7.0
02-05,488.325,362.0,18.0,25.0,18.0,9.0
02-06,554.575,409.66666666666674,24.41666666666667,28.66666666666667,18.0,9.916666666666666
02-07,631.7116550116549,478.0,25.0,32.0,18.0,10.0
02-08,718.2420168067227,545.0,26.0,36.0,20.0,11.0
02-09,795.6083333333333,600.125,28.625,42.125,20.875,12.75
02-10,903.5333333333333,681.0,33.0,45.0,24.0,15.0
02-11,1010.4222222222222,748.0,41.0,52.0,26.0,17.0
02-12,1106.0690476190475,820.0,45.0,54.0,28.0,21.0
02-13,1320.6611111111113,1005.1428571428572,48.42857142857143,57.42857142857143,29.714285714285715,22.714285714285715
02-14,1384.970743145743,1031.4285714285713,57.0,59.0,32.0,27.0
02-15,1510.4083333333333,1123.0,62.0,68.0,33.0,32.0
02-16,1651.1583333333333,1233.0,65.0,75.0,34.0,36.0
02-17,1734.5194444444444,1293.8,69.0,77.4,34.8,36.8
02-18,1850.4678571428572,1381.0,75.0,84.0,36.0,38.0
02-19,1977.3378205128204,1488.0769230769229,81.46153846153847,84.92307692307692,36.92307692307692,38.0
02-20,2099.6583333333333,1585.0,89.0,87.0,38.0,40.0
02-21,2218.1583333333333,1684.0,94.0,90.0,39.0,40.0
02-22,2301.6027777777776,1754.0,97.11111111111113,93.88888888888887,39.0,40.0
02-23,2408.872619047619,1844.2857142857144,101.42857142857143,97.57142857142857,39.857142857142854,40.857142857142854
02-24,2524.4249999999997,1943.333333333333,106.0,101.33333333333331,40.0,41.66666666666666
02-25,2645.825,2043.0,110.0,106.0,41.0,42.0
02-26,2691.325,2079.75,112.625,106.875,41.0,43.75
02-27,2725.4083333333333,2104.0,113.0,110.0,42.0,45.0
02-28,2766.9083333333333,2132.0,114.0,114.0,43.0,46.0
02-29,2811.9583333333335,2169.0,115.0,115.0,44.0,46.0
03-01,2844.0583333333334,2195.0,117.4,115.0,46.4,46.0
03-02,2875.325,2216.333333333333,119.33333333333331,115.66666666666669,47.66666666666666,47.33333333333334
03-03,2918.6583333333333,2245.5,120.0,118.25,48.0,48.0
03-04,2959.9083333333333,2282.0,120.0,120.0,48.5,48.0
03-05,2994.991666666667,2305.0,121.0,121.0,52.0,48.0
03-06,3014.158333333333,2320.333333333333,122.33333333333331,121.66666666666669,52.66666666666666,48.0
03-07,3051.825,2349.0,123.0,125.0,54.0,48.0
03-08,3078.825,2370.0,125.0,125.0,54.0,49.0
03-09,3101.325,2388.5,126.0,125.0,54.0,49.0
03-10,3117.825,2404.0,126.0,125.0,54.0,49.0
03-11,3132.4916666666663,2416.6666666666665,126.0,125.0,54.0,49.0
03-12,3150.825,2430.0,126.0,125.0,55.0,49.0
03-13,3157.325,2436.0,126.0,125.0,55.0,49.0
03-14,3170.825,2446.0,126.0,125.0,57.0,50.0
03-15,3175.825,2451.0,126.0,125.0,57.0,50.0
03-16,3194.4916666666663,2469.0,126.66666666666669,125.0,57.0,50.0
03-17,3203.8249999999994,2476.333333333333,127.0,125.0,57.0,50.0
03-18,3216.075,2487.5,127.75,125.0,57.0,50.0
03-19,3226.825,2496.0,128.0,125.0,58.0,50.0
03-20,3230.825,2498.6666666666665,128.0,125.0,58.0,50.0
03-21,3237.1583333333333,2504.0,128.0,125.0,58.0,51.0
03-22,3241.6583333333333,2508.0,128.0,125.0,59.0,51.0
03-23,3251.991666666667,2517.0,128.0,125.0,59.0,51.0
03-24,3262.1583333333333,2524.0,128.0,125.0,59.0,51.0
03-25,3266.1583333333333,2526.0,128.0,125.0,59.0,51.0
03-26,3272.1583333333333,2531.0,128.0,125.0,59.0,52.0
03-27,3277.1583333333333,2535.0,128.0,125.0,59.0,52.0
03-28,3280.1583333333333,2538.0,128.0,125.0,59.0,52.0
03-29,3284.6583333333333,2543.0,128.0,125.0,59.0,52.0
03-30,3288.6583333333333,2547.0,128.0,125.0,59.0,52.0
03-31,3290.1583333333333,2548.0,128.0,125.0,59.0,52.0
04-01,3296.1583333333333,2553.0,128.0,125.0,59.0,52.0
04-02,3301.6583333333333,2559.0,128.0,125.0,59.0,52.0
04-03,3305.6583333333333,2563.0,128.0,125.0,59.0,52.0
04-04,3309.6583333333333,2567.0,128.0,125.0,59.0,52.0
04-05,3312.6583333333333,2570.0,128.0,125.0,59.0,52.0
04-06,3314.1583333333333,2571.0,128.5,125.0,59.0,52.0
04-07,3314.6583333333333,2571.0,129.0,125.0,59.0,52.0
04-08,3315.6583333333333,2572.0,129.0,125.0,59.0,52.0
04-09,3317.6583333333333,2574.0,129.0,125.0,59.0,52.0
04-10,3318.1583333333333,2575.0,129.0,125.0,59.0,52.0
